SENSOR	BAND_NUMBER	CENTRAL_WL	EOS_SENSOR	EOS_6S
MODISA	1	645	1578.11	1603.89
MODISA	2	858.5	971.74	992.78
MODISA	3	469	2058.78	2012.55
MODISA	4	555	1838.69	1859.45
MODISA	5	1240	454.67	453.66
MODISA	6	1640	239.77	237.82
MODISA	7	2130	98.85	95.25
PARASOL	1	443	1891.16	1897.41
PARASOL	2	490	1928.39	1935.5
PARASOL	3	565	1843.69	1842.3
PARASOL	4	670	1527.45	1532.73
PARASOL	5	763	1225.4	1229.75
PARASOL	6	765	1228.45	1232.41
PARASOL	7	865	980.89	980.4
PARASOL	8	910	885.09	929.03
PARASOL	9	1020	712.5	726.33
MERIS	1	412.5	1716.09	1735.08
MERIS	2	442.5	1880.34	1858
MERIS	3	490	1929.82	1924.68
MERIS	4	510	1930.42	1916.12
MERIS	5	560	1804.47	1845.7
MERIS	6	620	1652.05	1700.73
MERIS	7	665	1532.81	1547.51
MERIS	8	681.25	1473.3	1495.47
MERIS	9	708.75	1409.03	1394.2
MERIS	10	753.75	1267.02	1262.78
MERIS	11	760.625	1255.55	1242.03
MERIS	12	778.75	1178.17	1192.53
MERIS	13	865	959.12	972.21
MERIS	14	885	930.56	975.05
MERIS	15	900	896.15	943.92
AATSR	1	560	1819.54	1853.11
AATSR	2	660	1521.89	1546.01
AATSR	3	862	950.68	971.14
AATSR	4	1593	254.48	253.03
VEGETATION	1	460	1963.4	1972.01
VEGETATION	2	670	1570.3	1551.73
VEGETATION	3	825	1045.6	1058.47
VEGETATION	4	1640	234.7	228.24
ATSR2	1	554		
ATSR2	2	658		
ATSR2	3	864		
ATSR2	4	1608		
