WAVELENGTH;SOLAR_IRRADIANCE
0.250000;69.300000
0.252500;77.650000
0.255000;86.000000
0.257500;100.060000
0.260000;114.120000
0.262500;137.060000
0.265000;160.000000
0.267500;169.520000
0.270000;179.040000
0.272500;178.020000
0.275000;177.000000
0.277500;193.690000
0.280000;210.380000
0.282500;241.690000
0.285000;273.000000
0.287500;318.420000
0.290000;363.840000
0.292500;434.420000
0.295000;505.000000
0.297500;531.500000
0.300000;558.000000
0.302500;547.500000
0.305000;537.000000
0.307500;559.020000
0.310000;581.030000
0.312500;619.520000
0.315000;658.000000
0.317500;694.390000
0.320000;730.780000
0.322500;774.390000
0.325000;817.990000
0.327500;871.990000
0.330000;925.990000
0.332500;912.040000
0.335000;898.090000
0.337500;920.690000
0.340000;943.290000
0.342500;925.990000
0.345000;908.690000
0.347500;936.090000
0.350000;963.490000
0.352500;994.940000
0.355000;1026.390000
0.357500;980.740000
0.360000;935.090000
0.362500;1036.290000
0.365000;1137.490000
0.367500;1163.740000
0.370000;1189.990000
0.372500;1109.340000
0.375000;1028.690000
0.377500;1088.990000
0.380000;1149.290000
0.382500;1033.690000
0.385000;918.090000
0.387500;1031.890000
0.390000;1145.690000
0.392500;1035.090000
0.395000;924.490000
0.397500;1269.290000
0.400000;1614.090000
0.402500;1631.090000
0.405000;1648.090000
0.407500;1677.190000
0.410000;1706.290000
0.412500;1744.890000
0.415000;1783.490000
0.417500;1750.190000
0.420000;1716.890000
0.422500;1705.190000
0.425000;1693.490000
0.427500;1597.690000
0.430000;1501.890000
0.432500;1630.990000
0.435000;1760.090000
0.437500;1775.240000
0.440000;1790.390000
0.442500;1859.940000
0.445000;1929.490000
0.447500;1993.440000
0.450000;2057.390000
0.452500;2039.230000
0.455000;2021.080000
0.457500;2030.730000
0.460000;2040.380000
0.462500;2026.530000
0.465000;2012.680000
0.467500;1999.530000
0.470000;1986.380000
0.472500;2002.880000
0.475000;2019.380000
0.477500;2038.090000
0.480000;2056.790000
0.482500;1967.740000
0.485000;1878.680000
0.487500;1905.830000
0.490000;1932.980000
0.492500;1953.580000
0.495000;1974.180000
0.497500;1935.680000
0.500000;1897.190000
0.502500;1916.780000
0.505000;1936.380000
