DOY;cf
1;1
2;0.999971
3;0.999953
4;0.999945
5;0.999948
6;0.999961
7;0.999985
8;1.000019
9;1.000065
10;1.00012
11;1.000187
12;1.000264
13;1.000352
14;1.00045
15;1.000558
16;1.000677
17;1.000806
18;1.000945
19;1.001094
20;1.001252
21;1.001421
22;1.001599
23;1.001787
24;1.001984
25;1.002191
26;1.002407
27;1.002633
28;1.002868
29;1.003112
30;1.003365
31;1.003628
32;1.0039
33;1.004181
34;1.004472
35;1.004771
36;1.00508
37;1.005398
38;1.005725
39;1.006061
40;1.006405
41;1.006759
42;1.007121
43;1.007491
44;1.00787
45;1.008256
46;1.008651
47;1.009053
48;1.009463
49;1.00988
50;1.010305
51;1.010736
52;1.011174
53;1.011619
54;1.01207
55;1.012528
56;1.012992
57;1.013462
58;1.013938
59;1.01442
60;1.014908
61;1.015402
62;1.015901
63;1.016406
64;1.016917
65;1.017433
66;1.017954
67;1.018481
68;1.019012
69;1.019549
70;1.02009
71;1.020636
72;1.021186
73;1.02174
74;1.022298
75;1.02286
76;1.023425
77;1.023994
78;1.024565
79;1.025139
80;1.025716
81;1.026295
82;1.026876
83;1.027459
84;1.028044
85;1.02863
86;1.029217
87;1.029806
88;1.030396
89;1.030987
90;1.031579
91;1.032172
92;1.032765
93;1.033359
94;1.033953
95;1.034548
96;1.035143
97;1.035738
98;1.036332
99;1.036927
100;1.037521
101;1.038114
102;1.038706
103;1.039298
104;1.039888
105;1.040476
106;1.041062
107;1.041646
108;1.042228
109;1.042808
110;1.043384
111;1.043958
112;1.044528
113;1.045095
114;1.045659
115;1.046219
116;1.046775
117;1.047327
118;1.047875
119;1.048419
120;1.048959
121;1.049494
122;1.050025
123;1.050551
124;1.051073
125;1.051591
126;1.052103
127;1.05261
128;1.053113
129;1.05361
130;1.054102
131;1.054588
132;1.055069
133;1.055544
134;1.056012
135;1.056474
136;1.05693
137;1.057379
138;1.057821
139;1.058256
140;1.058683
141;1.059103
142;1.059516
143;1.059921
144;1.060318
145;1.060707
146;1.061088
147;1.061462
148;1.061827
149;1.062184
150;1.062533
151;1.062873
152;1.063206
153;1.06353
154;1.063846
155;1.064154
156;1.064454
157;1.064745
158;1.065027
159;1.065301
160;1.065567
161;1.065823
162;1.066071
163;1.066309
164;1.066538
165;1.066758
166;1.066969
167;1.06717
168;1.067361
169;1.067542
170;1.067714
171;1.067875
172;1.068027
173;1.068168
174;1.0683
175;1.068421
176;1.068532
177;1.068633
178;1.068724
179;1.068805
180;1.068876
181;1.068937
182;1.068989
183;1.06903
184;1.069062
185;1.069084
186;1.069097
187;1.069099
188;1.069093
189;1.069076
190;1.069049
191;1.069013
192;1.068967
193;1.068911
194;1.068845
195;1.068769
196;1.068684
197;1.068587
198;1.068481
199;1.068365
200;1.068239
201;1.068102
202;1.067955
203;1.067798
204;1.067632
205;1.067455
206;1.067269
207;1.067073
208;1.066867
209;1.066652
210;1.066427
211;1.066194
212;1.065951
213;1.0657
214;1.065439
215;1.06517
216;1.064893
217;1.064606
218;1.064312
219;1.064009
220;1.063697
221;1.063377
222;1.063049
223;1.062713
224;1.062368
225;1.062015
226;1.061654
227;1.061285
228;1.060908
229;1.060522
230;1.060129
231;1.059727
232;1.059318
233;1.058902
234;1.058478
235;1.058046
236;1.057608
237;1.057162
238;1.05671
239;1.056251
240;1.055786
241;1.055315
242;1.054837
243;1.054354
244;1.053866
245;1.053372
246;1.052872
247;1.052368
248;1.051859
249;1.051344
250;1.050825
251;1.050301
252;1.049773
253;1.04924
254;1.048702
255;1.04816
256;1.047614
257;1.047064
258;1.046509
259;1.045951
260;1.045389
261;1.044823
262;1.044254
263;1.043682
264;1.043107
265;1.042528
266;1.041947
267;1.041364
268;1.040779
269;1.040192
270;1.039603
271;1.039012
272;1.038421
273;1.037828
274;1.037235
275;1.036641
276;1.036047
277;1.035453
278;1.034858
279;1.034264
280;1.03367
281;1.033076
282;1.032482
283;1.031889
284;1.031297
285;1.030705
286;1.030114
287;1.029525
288;1.028936
289;1.028349
290;1.027763
291;1.027179
292;1.026596
293;1.026016
294;1.025437
295;1.024862
296;1.024289
297;1.023718
298;1.023152
299;1.022588
300;1.022028
301;1.021472
302;1.02092
303;1.020372
304;1.019829
305;1.019291
306;1.018757
307;1.018228
308;1.017705
309;1.017186
310;1.016673
311;1.016165
312;1.015663
313;1.015166
314;1.014675
315;1.01419
316;1.01371
317;1.013236
318;1.012769
319;1.012308
320;1.011852
321;1.011404
322;1.010962
323;1.010527
324;1.010098
325;1.009677
326;1.009263
327;1.008857
328;1.008458
329;1.008068
330;1.007685
331;1.007311
332;1.006945
333;1.006587
334;1.006239
335;1.005899
336;1.005568
337;1.005245
338;1.004932
339;1.004628
340;1.004333
341;1.004047
342;1.00377
343;1.003503
344;1.003244
345;1.002995
346;1.002755
347;1.002524
348;1.002303
349;1.002091
350;1.001888
351;1.001695
352;1.001511
353;1.001337
354;1.001173
355;1.001019
356;1.000875
357;1.000741
358;1.000617
359;1.000503
360;1.0004
361;1.000307
362;1.000225
363;1.000153
364;1.000092
365;1.000042
366;1.000002
