Wavelength;Response
1447.824; 0.00001
1449.117; 0.00001
1450.41; 0.00001
1451.704; 0.00001
1452.997; 0
1454.291; 0
1455.584; 0
1456.878; 0
1458.171; 0
1459.464; 0
1460.758; 0
1462.051; 0
1463.345; 0
1464.638; 0
1465.931; 0
1467.225; 0
1468.518; 0
1469.812; 0
1471.105; 0.00001
1472.399; 0
1473.692; 0.00001
1474.985; 0.00001
1476.279; 0.00002
1477.572; 0.00003
1478.866; 0.00005
1480.159; 0.00007
1481.453; 0.0001
1482.746; 0.0001
1484.039; 0.00014
1485.333; 0.00017
1486.626; 0.00017
1487.92; 0.00018
1489.213; 0.00018
1490.506; 0.0002
1491.8; 0.00029
1493.093; 0.00045
1494.387; 0.00067
1495.68; 0.00073
1496.974; 0.00073
1498.267; 0.00076
1499.56; 0.00085
1500.854; 0.00092
1502.147; 0.00095
1503.441; 0.00108
1504.734; 0.0011
1506.027; 0.00119
1507.321; 0.00143
1508.614; 0.00152
1509.908; 0.00177
1511.201; 0.00188
1512.495; 0.0021
1513.788; 0.00239
1515.081; 0.00253
1516.375; 0.00277
1517.668; 0.00319
1518.962; 0.00357
1520.255; 0.00387
1521.549; 0.00449
1522.842; 0.00494
1524.135; 0.00573
1525.429; 0.00638
1526.722; 0.00741
1528.016; 0.00852
1529.309; 0.00989
1530.602; 0.01171
1531.896; 0.01381
1533.189; 0.01649
1534.483; 0.01957
1535.776; 0.0235
1537.07; 0.02826
1538.363; 0.03387
1539.656; 0.04111
1540.95; 0.05009
1542.243; 0.06101
1543.537; 0.07446
1544.83; 0.09107
1546.124; 0.11047
1547.417; 0.13143
1548.71; 0.15509
1550.004; 0.18169
1551.297; 0.2105
1552.591; 0.241
1553.884; 0.27164
1555.177; 0.30122
1556.471; 0.33446
1557.764; 0.36986
1559.058; 0.40497
1560.351; 0.44161
1561.645; 0.47867
1562.938; 0.51617
1564.231; 0.55151
1565.525; 0.58882
1566.818; 0.62886
1568.112; 0.66566
1569.405; 0.70495
1570.698; 0.74698
1571.992; 0.78266
1573.285; 0.81873
1574.579; 0.857
1575.872; 0.88899
1577.166; 0.91736
1578.459; 0.94384
1579.752; 0.96339
1581.046; 0.97886
1582.339; 0.99052
1583.633; 0.99534
1584.926; 0.99935
1586.22; 0.99997
1587.513; 0.99874
1588.806; 1
1590.1; 0.99492
1591.393; 0.98939
1592.687; 0.985
1593.98; 0.98067
1595.273; 0.97274
1596.567; 0.963
1597.86; 0.9538
1599.154; 0.94267
1600.447; 0.9315
1601.741; 0.91502
1603.034; 0.89402
1604.327; 0.87956
1605.621; 0.8626
1606.914; 0.84387
1608.208; 0.82207
1609.501; 0.80038
1610.794; 0.78011
1612.088; 0.76009
1613.381; 0.737
1614.675; 0.71177
1615.968; 0.68754
1617.262; 0.66412
1618.555; 0.63725
1619.848; 0.61077
1621.142; 0.5832
1622.435; 0.55455
1623.729; 0.52648
1625.022; 0.49739
1626.316; 0.46646
1627.609; 0.43473
1628.902; 0.40106
1630.196; 0.36762
1631.489; 0.33449
1632.783; 0.30209
1634.076; 0.27078
1635.369; 0.23981
1636.663; 0.21227
1637.956; 0.18632
1639.25; 0.16149
1640.543; 0.1389
1641.837; 0.1188
1643.13; 0.10048
1644.423; 0.08514
1645.717; 0.07215
1647.01; 0.06122
1648.304; 0.05226
1649.597; 0.0446
1650.891; 0.03803
1652.184; 0.03271
1653.477; 0.02857
1654.771; 0.0249
1656.064; 0.02191
1657.358; 0.01922
1658.651; 0.01697
1659.944; 0.01507
1661.238; 0.01328
1662.531; 0.01183
1663.825; 0.01075
1665.118; 0.00974
1666.412; 0.00875
1667.705; 0.00797
1668.998; 0.00712
1670.292; 0.00649
1671.585; 0.00604
1672.879; 0.00539
1674.172; 0.00504
1675.465; 0.00468
1676.759; 0.00432
1678.052; 0.00388
1679.346; 0.0036
1680.639; 0.00331
1681.933; 0.00301
1683.226; 0.00283
1684.519; 0.00271
1685.813; 0.00241
1687.106; 0.00224
1688.4; 0.00205
1689.693; 0.00181
1690.987; 0.00177
1692.28; 0.00169
1693.573; 0.00156
1694.867; 0.0015
1696.16; 0.00142
1697.454; 0.00132
1698.747; 0.00128
1700.04; 0.00127
1701.334; 0.00125
1702.627; 0.00117
1703.921; 0.00095
1705.214; 0.0008
1706.508; 0.00067
1707.801; 0.00053
1709.094; 0.0005
1710.388; 0.00049
1711.681; 0.00048
1712.975; 0.00048
1714.268; 0.00047
1715.562; 0.00048
1716.855; 0.00047
1718.148; 0.00045
1719.442; 0.00043
1720.735; 0.00042
1722.029; 0.0004
1723.322; 0.00034
1724.615; 0.00031
1725.909; 0.0003
1727.202; 0.00027
1728.496; 0.00025
1729.789; 0.00024
1731.083; 0.00024
1732.376; 0.00024
1733.669; 0.00024
1734.963; 0.00023
1736.256; 0.00024
1737.55; 0.00024
1738.843; 0.00024
1740.137; 0.00024
1741.43; 0.00024
1742.723; 0.00024
1744.017; 0.00025
1745.31; 0.00025
1746.604; 0.00025
1747.897; 0.00025
1749.19; 0.00025
1750.484; 0.00026
1751.777; 0.00026
1753.071; 0.00026
1754.364; 0.00026
1755.658; 0.00027
1756.951; 0.00027
1758.244; 0.00027
1759.538; 0.00027
1760.831; 0.00027
1762.125; 0.00028
1763.418; 0.00028
1764.711; 0.00028
1766.005; 0.00028
1767.298; 0.00028
1768.592; 0.00028
1769.885; 0.00029
1771.179; 0.00029
1772.472; 0.00029
1773.765; 0.00029
1775.059; 0.00028
1776.352; 0.0003
