Wavelength;Response
1385.10; 0
1386.66; 0
1388.21; -0.0001
1389.77; 0.0001
1391.32; 0
1392.88; 0
1394.43; -0.00009
1395.99; 0.00009
1397.54; 0
1399.10; 0
1400.65; 0
1402.21; 0.00009
1403.76; 0.00008
1405.32; -0.00008
1406.88; 0.00008
1408.43; -0.00008
1409.99; 0
1411.54; 0.00008
1413.10; 0
1414.65; 0.00007
1416.21; -0.00006
1417.76; -0.00007
1419.32; 0.00007
1420.87; 0.00007
1422.43; 0.00007
1423.98; 0.00014
1425.54; 0
1427.09; -0.00001
1428.65; 0.00007
1430.20; 0.00007
1431.76; 0.00013
1433.32; 0.00013
1434.87; 0.00006
1436.43; 0.00012
1437.98; 0.00032
1439.54; 0.00013
1441.09; 0.00012
1442.65; 0.00012
1444.20; 0.00012
1445.76; 0.00005
1447.31; 0.00029
1448.87; 0.0003
1450.42; 0.00012
1451.98; 0.00028
1453.53; 0.00031
1455.09; 0.00012
1456.65; 0.00027
1458.20; 0.00029
1459.76; 0.00028
1461.31; 0.00046
1462.87; 0.00028
1464.42; 0.00046
1465.98; 0.00012
1467.53; 0.00041
1469.09; 0.00059
1470.64; 0.00079
1472.20; 0.00047
1473.75; 0.00059
1475.31; 0.00062
1476.86; 0.0006
1478.42; 0.00076
1479.98; 0.00078
1481.53; 0.00076
1483.09; 0.0008
1484.64; 0.00075
1486.20; 0.00073
1487.75; 0.00087
1489.31; 0.00095
1490.86; 0.00094
1492.42; 0.00113
1493.97; 0.00116
1495.53; 0.00114
1497.08; 0.00114
1498.64; 0.0012
1500.19; 0.00151
1501.75; 0.00172
1503.31; 0.00184
1504.86; 0.00194
1506.42; 0.00205
1507.97; 0.00252
1509.53; 0.00265
1511.08; 0.00258
1512.64; 0.00299
1514.19; 0.0033
1515.75; 0.00372
1517.30; 0.00387
1518.86; 0.00388
1520.41; 0.0046
1521.97; 0.0052
1523.52; 0.00592
1525.08; 0.0067
1526.63; 0.00733
1528.19; 0.00827
1529.75; 0.00942
1531.30; 0.01062
1532.86; 0.01206
1534.41; 0.01394
1535.97; 0.01579
1537.52; 0.01823
1539.08; 0.02095
1540.63; 0.02445
1542.19; 0.02878
1543.74; 0.03345
1545.30; 0.03918
1546.85; 0.04571
1548.41; 0.05336
1549.96; 0.06274
1551.52; 0.07206
1553.08; 0.08293
1554.63; 0.09451
1556.19; 0.10956
1557.74; 0.12578
1559.30; 0.14609
1560.85; 0.1672
1562.41; 0.18956
1563.96; 0.21506
1565.52; 0.24403
1567.07; 0.27768
1568.63; 0.31707
1570.18; 0.35398
1571.74; 0.40135
1573.29; 0.44837
1574.85; 0.50454
1576.41; 0.56052
1577.96; 0.6206
1579.52; 0.66956
1581.07; 0.76486
1582.63; 0.80717
1584.18; 0.86262
1585.74; 0.90923
1587.29; 0.93489
1588.85; 0.96278
1590.40; 0.98417
1591.96; 1.00038
1593.51; 0.99489
1595.07; 0.99416
1596.62; 0.97623
1598.18; 0.97045
1599.74; 0.95848
1601.29; 0.93731
1602.85; 0.91777
1604.40; 0.90254
1605.96; 0.88354
1607.51; 0.87317
1609.07; 0.8644
1610.62; 0.84973
1612.18; 0.83827
1613.73; 0.81431
1615.29; 0.80445
1616.84; 0.78288
1618.40; 0.77682
1619.95; 0.76536
1621.51; 0.75125
1623.07; 0.744
1624.62; 0.72927
1626.18; 0.71804
1627.73; 0.70467
1629.29; 0.68463
1630.84; 0.66609
1632.40; 0.65362
1633.95; 0.63655
1635.51; 0.61842
1637.06; 0.59012
1638.62; 0.56053
1640.17; 0.52987
1641.73; 0.49754
1643.28; 0.46079
1644.84; 0.42778
1646.39; 0.39594
1647.95; 0.36112
1649.51; 0.33132
1651.06; 0.30068
1652.62; 0.27323
1654.17; 0.24574
1655.73; 0.22404
1657.28; 0.2017
1658.84; 0.17969
1660.39; 0.1617
1661.95; 0.14268
1663.50; 0.12884
1665.06; 0.11408
1666.61; 0.10226
1668.17; 0.09141
1669.72; 0.08081
1671.28; 0.07208
1672.84; 0.06359
1674.39; 0.05652
1675.95; 0.05089
1677.50; 0.04497
1679.06; 0.04038
1680.61; 0.03588
1682.17; 0.03245
1683.72; 0.02887
1685.28; 0.02597
1686.83; 0.02318
1688.39; 0.02104
1689.94; 0.019
1691.50; 0.01703
1693.05; 0.01527
1694.61; 0.0138
1696.17; 0.01254
1697.72; 0.01139
1699.28; 0.01015
1700.83; 0.00947
1702.39; 0.00869
1703.94; 0.00815
1705.50; 0.0073
1707.05; 0.0068
1708.61; 0.00603
1710.16; 0.00588
1711.72; 0.00551
1713.27; 0.00466
1714.83; 0.0045
1716.38; 0.00446
1717.94; 0.00411
1719.50; 0.00351
1721.05; 0.00325
1722.61; 0.00307
1724.16; 0.00307
1725.72; 0.00255
1727.27; 0.00239
1728.83; 0.0022
1730.38; 0.00185
1731.94; 0.00198
1733.49; 0.00186
1735.05; 0.0015
1736.60; 0.00138
1738.16; 0.00139
1739.71; 0.00141
1741.27; 0.00135
1742.82; 0.00128
1744.38; 0.00115
1745.94; 0.00122
1747.49; 0.00116
1749.05; 0.00116
1750.60; 0.00116
1752.16; 0.00103
1753.71; 0.00101
1755.27; 0.00097
1756.82; 0.00103
1758.38; 0.00097
1759.93; 0.00091
1761.49; 0.0009
1763.04; 0.00091
1764.60; 0.00091
1766.15; 0.00091
1767.71; 0.00072
1769.27; 0.00093
1770.82; 0.00033
1772.38; 0.00072
1773.93; 0.00073
1775.49; 0.00073
1777.04; 0.00013
1778.60; 0.00074

