Wavelength;Response
435.3; 0.0000544460
435.4; 0.0000988187
435.5; 0.0001759052
435.6; 0.0003070532
435.7; 0.0005257665
435.8; 0.0008829638
435.9; 0.0014543400
436.0; 0.0023494420
436.1; 0.0037220580
436.2; 0.0057842580
436.3; 0.0088166120
436.4; 0.0131811300
436.5; 0.0193290100
436.6; 0.0277995300
436.7; 0.0392236100
436.8; 0.0542886900
436.9; 0.0737134700
437.0; 0.0981952800
437.1; 0.1283350000
437.2; 0.1646000000
437.3; 0.2071906000
437.4; 0.2560019000
437.5; 0.3105612000
437.6; 0.3699832000
437.7; 0.4330584000
437.8; 0.4982015000
437.9; 0.5636247000
438.0; 0.6274585000
438.1; 0.6878927000
438.2; 0.7434092000
438.3; 0.7928096000
438.4; 0.8353860000
438.5; 0.8709405000
438.6; 0.8997501000
438.7; 0.9225128000
438.8; 0.9401628000
438.9; 0.9537520000
439.0; 0.9642894000
439.1; 0.9726172000
439.2; 0.9793479000
439.3; 0.9848341000
439.4; 0.9892170000
439.5; 0.9925024000
439.6; 0.9946549000
439.7; 0.9956893000
439.8; 0.9957268000
439.9; 0.9950168000
440.0; 0.9939106000
440.1; 0.9928013000
440.2; 0.9920435000
440.3; 0.9918802000
440.4; 0.9923902000
440.5; 0.9934749000
440.6; 0.9948861000
440.7; 0.9962928000
440.8; 0.9973622000
440.9; 0.9978454000
441.0; 0.9976394000
441.1; 0.9968130000
441.2; 0.9955885000
441.3; 0.9942878000
441.4; 0.9932507000
441.5; 0.9927511000
441.6; 0.9929282000
441.7; 0.9937523000
441.8; 0.9950329000
441.9; 0.9964655000
442.0; 0.9977084000
442.1; 0.9984674000
442.2; 0.9985701000
442.3; 0.9980070000
442.4; 0.9969347000
442.5; 0.9956368000
442.6; 0.9944527000
442.7; 0.9936919000
442.8; 0.9935592000
442.9; 0.9941019000
443.0; 0.9951991000
443.1; 0.9965911000
443.2; 0.9979468000
443.3; 0.9989430000
443.4; 0.9993472000
443.5; 0.9990747000
443.6; 0.9982097000
443.7; 0.9969833000
443.8; 0.9957169000
443.9; 0.9947413000
444.0; 0.9943140000
444.1; 0.9945556000
444.2; 0.9954200000
444.3; 0.9967057000
444.4; 0.9981066000
444.5; 0.9992881000
444.6; 0.9999708000
444.7; 1.0000000000
444.8; 0.9993834000
444.9; 0.9982893000
445.0; 0.9970037000
445.1; 0.9958586000
445.2; 0.9951466000
445.3; 0.9950480000
445.4; 0.9955817000
445.5; 0.9965956000
445.6; 0.9977970000
445.7; 0.9988156000
445.8; 0.9992769000
445.9; 0.9988732000
446.0; 0.9974071000
446.1; 0.9947975000
446.2; 0.9910388000
446.3; 0.9861340000
446.4; 0.9800023000
446.5; 0.9723949000
446.6; 0.9628404000
446.7; 0.9506205000
446.8; 0.9348292000
446.9; 0.9144563000
447.0; 0.8885226000
447.1; 0.8562411000
447.2; 0.8171171000
447.3; 0.7711156000
447.4; 0.7186814000
447.5; 0.6607432000
447.6; 0.5986695000
447.7; 0.5340759000
447.8; 0.4687943000
447.9; 0.4046399000
448.0; 0.3432829000
448.1; 0.2861461000
448.2; 0.2342556000
448.3; 0.1883092000
448.4; 0.1486086000
448.5; 0.1151165000
448.6; 0.0875253400
448.7; 0.0653004300
448.8; 0.0478062200
448.9; 0.0343408600
449.0; 0.0242032900
449.1; 0.0167381400
449.2; 0.0113552800
449.3; 0.0075575990
449.4; 0.0049346490
449.5; 0.0031608840
449.6; 0.0019865450
449.7; 0.0012246120
449.8; 0.0007405696
449.9; 0.0004393373
450.0; 0.0002556778
450.1; 0.0001459905
