Wavelength;Response
477.6239; 0.01
477.8316; 0.01141
478.4414; 0.02439
479.0529; 0.05053
479.638; 0.09199
480.2521; 0.15167
480.8391; 0.22225
481.4545; 0.31945
482.0423; 0.43287
482.6579; 0.58156
483.2452; 0.70351
483.8318; 0.78922
484.4452; 0.84872
485.0574; 0.8818
485.6401; 0.89854
486.2488; 0.92197
486.8554; 0.94995
487.4323; 0.96197
488.0343; 0.98373
488.6339; 0.98829
489.258; 1
489.8523; 0.98707
490.4442; 0.95211
491.0337; 0.89061
491.6476; 0.80041
492.2327; 0.66849
492.8424; 0.49471
493.4504; 0.29937
494.0571; 0.14072
494.6363; 0.05532
495.2413; 0.02087
495.7527; 0.01
