Wavelength;Response
2058.5342; 0.01
2062.0884; 0.0141
2067.1008; 0.02782
2072.0967; 0.06382
2077.0759; 0.14485
2082.0896; 0.29803
2087.0869; 0.55323
2092.082; 0.77832
2097.0808; 0.9089
2102.0869; 1
2107.0791; 0.9079
2112.082; 0.94869
2117.1028; 0.89372
2122.0718; 0.82844
2127.0959; 0.74917
2132.0854; 0.6359
2137.083; 0.54515
2142.0764; 0.45774
2147.0991; 0.35
2152.0808; 0.21303
2157.0945; 0.12975
2162.0793; 0.06597
2167.0754; 0.02631
2172.0784; 0.0134
2175.6548; 0.01













