DIMITRI_DATE;REGION;SENSOR;PROCESSING_VERSION;YEAR;MONTH;DAY;DOY;DECIMAL_YEAR;FILENAME;ROI_COVER;NUM_ROI_PX;AUTO_CS;MANUAL_CS;AUX_DATA_1;AUX_DATA_2;AUX_DATA_3;AUX_DATA_4;AUX_DATA_5;AUX_DATA_6;AUX_DATA_7;AUX_DATA_8;AUX_DATA_9;AUX_DATA_10
20-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  10;   1; 274;   2011.752875602437;MER_RR__1PRBCM20111001_191125_000000543107_00128_50142_0001.N1;  1;         2156.0; 0.894; -1;MER_RR__0PPLRA20111001_184118_000026263107_00128_50142_9327.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20120321_193100;MER_CP1_AXVACR20091015_130410_20020321_193100_20120321_193100;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20091201_000000_20020321_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20000101_000000_20111001_150000_20111002_030000;DOR_POR_AXVF-P20111003_020400_20110930_215526_20111002_002326;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
20-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  10;   2; 275;   2011.755546359604;MER_RR__1PRBCM20111002_183510_000000563107_00142_50156_0001.N1;  1;         2136.0; 0.999; -1;MER_RR__0PPLRA20111002_180440_000026273107_00142_50156_9752.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20120321_193100;MER_CP1_AXVACR20091015_130410_20020321_193100_20120321_193100;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20091201_000000_20020321_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20000101_000000_20111002_150000_20111003_030000;DOR_POR_AXVF-P20111004_021500_20111001_215526_20111003_002326;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
20-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  10;   4; 277;   2011.761076008316;MER_RR__1PRBCM20111004_190133_000000543107_00171_50185_0001.N1;  1;         2147.0; 1.000; -1;MER_RR__0PPLRA20111004_183140_000026273107_00171_50185_0612.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20120321_193100;MER_CP1_AXVACR20091015_130410_20020321_193100_20120321_193100;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20091201_000000_20020321_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20000101_000000_20111004_150000_20111005_030000;DOR_POR_AXVF-P20111006_020600_20111003_215526_20111005_002326;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
20-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  10;   7; 280;   2011.769276414194;MER_RR__1PRBCM20111007_185141_000000543107_00214_50228_0001.N1;  1;         2145.0; 1.000; -1;MER_RR__0PPLRA20111007_182202_000026273107_00214_50228_1762.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20120321_193100;MER_CP1_AXVACR20091015_130410_20020321_193100_20120321_193100;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20091201_000000_20020321_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20000101_000000_20111007_150000_20111008_030000;DOR_POR_AXVF-P20111009_020000_20111006_215526_20111008_002326;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
20-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  10;   9; 282;   2011.774806157901;MER_RR__1PRBCM20111009_191807_000000543107_00243_50257_0001.N1;  0;          242.0; 1.000; -1;MER_RR__0PPLRA20111009_184901_000026273107_00243_50257_2542.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20120321_193100;MER_CP1_AXVACR20091015_130410_20020321_193100_20120321_193100;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20091201_000000_20020321_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20000101_000000_20111009_150000_20111010_030000;DOR_POR_AXVF-P20111011_020800_20111008_215526_20111010_002326;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
20-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  10;  10; 283;   2011.777476820073;MER_RR__1PRBCM20111010_184149_000000563107_00257_50271_0001.N1;  1;         2144.0; 0.835; -1;MER_RR__0PPLRA20111010_181223_000026283107_00257_50271_2914.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20120321_193100;MER_CP1_AXVACR20091015_130410_20020321_193100_20120321_193100;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20091201_000000_20020321_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20000101_000000_20111010_150000_20111011_030000;DOR_POR_AXVF-P20111012_015900_20111009_215526_20111011_002326;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
20-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  10;  12; 285;   2011.783006532115;MER_RR__1PRBCM20111012_190814_000000543107_00286_50300_0001.N1;  1;         2154.0; 0.013; -1;MER_RR__0PPLRA20111012_183922_000026283107_00286_50300_3726.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20120321_193100;MER_CP1_AXVACR20091015_130410_20020321_193100_20120321_193100;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20091201_000000_20020321_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20000101_000000_20111012_150000_20111013_030000;DOR_POR_AXVF-P20111014_015400_20111011_215526_20111013_002326;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  10;  13; 286;   2011.785677257616;MER_RR__1PRBCM20111013_183158_000000563107_00300_50314_0001.N1;  1;         2144.0; 0.495; -1;MER_RR__0PPLRA20111013_180244_000026283107_00300_50314_4111.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20120321_193100;MER_CP1_AXVACR20091015_130410_20020321_193100_20120321_193100;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20091201_000000_20020321_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20000101_000000_20111013_150000_20111014_030000;DOR_POR_AXVF-P20111015_015300_20111012_215526_20111014_002326;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  10;  15; 288;   2011.791206906328;MER_RR__1PRBCM20111015_185821_000000543107_00329_50343_0001.N1;  1;         2143.0; 0.191; -1;MER_RR__0PPLRA20111015_182943_000026283107_00329_50343_4829.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20120321_193100;MER_CP1_AXVACR20091015_130410_20020321_193100_20120321_193100;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20091201_000000_20020321_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20000101_000000_20111015_150000_20111016_030000;DOR_POR_AXVF-P20111017_015000_20111014_215526_20111016_002326;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  10;  18; 291;   2011.799407248644;MER_RR__1PRBCM20111018_184827_000000563107_00372_50386_0001.N1;  1;         2141.0; 0.649; -1;MER_RR__0PPLRA20111018_182004_000026283107_00372_50386_5975.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20120321_193100;MER_CP1_AXVACR20091015_130410_20020321_193100_20120321_193100;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20091201_000000_20020321_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20000101_000000_20111018_150000_20111019_030000;DOR_VOR_AXVF-P20111115_094800_20111017_215526_20111019_002326;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
