DIMITRI_ID;Wave_Centre;AATSR;ATSR2;MERIS;MODISA_O;MODISA_L;PARASOL;VEGETATION
1;412;-2;-2;0;0;0;-2;-2
2;443;-2;-2;1;1;1;0;0
3;470;-2;-2;-2;15;15;-2;-2
4;490;-2;-2;2;2;2;1;-2
5;510;-2;-2;3;-2;-2;-2;-2
6;530;-2;-2;-2;3;-2;-2;-2
7;555;0;0;4;4;16;2;-2
8;620;-2;-2;5;-2;-2;-2;-2
9;665;1;1;6;5;20;3;1
10;681;-2;-2;7;7;-2;-2;-2
11;708;-2;-2;8;-2;-2;-2;-2
12;750;-2;-2;9;9;-2;-2;-2
13;761;-2;-2;10;-2;-2;-2;-2
14;765;-2;-2;-2;-2;-2;5;-2
15;778;-2;-2;11;-2;-2;-2;-2
16;830;-2;-2;-2;-2;-2;-2;2
17;860;-2;-2;-2;21;-2;-2;-2
18;870;2;2;12;10;21;6;-2
19;885;-2;-2;13;-2;-2;-2;-2
20;900;-2;-2;14;11;11;7;-2
21;935;-2;-2;-2;12;12;-2;-2
22;940;-2;-2;-2;13;13;-2;-2
23;1020;-2;-2;-2;-2;-2;8;-2
24;1240;-2;-2;-2;17;17;-2;-2
25;1375;-2;-2;-2;14;14;-2;-2
26;1600;3;3;-2;18;18;-2;3
27;2130;-2;-2;-2;19;19;-2;-2
28;3700;4;4;-2;-2;-2;-2;-2
29;10850;5;5;-2;-2;-2;-2;-2
30;12000;6;6;-2;-2;-2;-2;-2

