BAND_ID;AATSR;AATSR_STD_LABEL;AATSR_REF_LABEL;AATSR_SMAC_FILE;AATSR_RAY_LUT_FILE;AATSR_SUN_LUT_FILE;ATSR2;ATSR2_STD_LABEL;ATSR2_REF_LABEL;ATSR2_SMAC_FILE;ATSR2_RAY_LUT_FILE;ATSR2_SUN_LUT_FILE;MERIS;MERIS_STD_LABEL;MERIS_REF_LABEL;MERIS_SMAC_FILE;MERIS_RAY_LUT_FILE;MERIS_SUN_LUT_FILE;MODISA;MODISA_STD_LABEL;MODISA_REF_LABEL;MODISA_SMAC_FILE;MODISA_RAY_LUT_FILE;MODISA_SUN_LUT_FILE;PARASOL;PARASOL_STD_LABEL;PARASOL_REF_LABEL;PARASOL_SMAC_FILE;PARASOL_RAY_LUT_FILE;PARASOL_SUN_LUT_FILE;VEGETATION;VEGETATION_STD_LABEL;VEGETATION_REF_LABEL;VEGETATION_SMAC_FILE;VEGETATION_RAY_LUT_FILE;VEGETATION_SUN_LUT_FILE
1;555;GREEN;BAND_01;coef_AATSR_550_DES.dat;RS_LUT_070v2.txt;SG_LUT_070v2.txt;555;GREEN;BAND_01;coef_ATSR2_550_DES.dat;RS_LUT_070v2.txt;SG_LUT_070v2.txt;412;none;BAND_01;coef_MERIS1_DES.dat;none;none;412;none;BAND_08;coef_MODIS8_DES.dat;RS_LUT_049v2.txt;none;443;none;BAND_01;Coef_PARASOL_DES_B1.dat;RS_LUT_166v2.txt;none;450;BLUE;BAND_01;coef_VGT2_B0_DES.dat;none;none
2;660;VISR;BAND_02;coef_AATSR_670_DES.dat;RS_LUT_071v2.txt;SG_LUT_071v2.txt;660;VISR;BAND_02;coef_ATSR2_670_DES.dat;RS_LUT_071v2.txt;SG_LUT_071v2.txt;443;BLUE;BAND_02;coef_MERIS2_DES.dat;RS_LUT_075v2.txt;SG_LUT_075v2.txt;443;none;BAND_09;none;none;none;490;BLUE;BAND_02;Coef_PARASOL_DES_B2.dat;RS_LUT_167v2.txt;SG_LUT_167v2.txt;645;VISR;BAND_02;coef_VGT2_B2_DES.dat;none;none
3;865;NIR;BAND_03;coef_AATSR_865_DES.dat;RN_LUT_072v2.txt;SG_LUT_072v2.txt;865;NIR;BAND_03;coef_ATSR2_865_DES.dat;RN_LUT_072v2.txt;SG_LUT_072v2.txt;490;none;BAND_03;coef_MERIS3_DES.dat;RS_LUT_076v2.txt;SG_LUT_076v2.txt;487;none;BAND_10;none;none;none;565;GREEN;BAND_03;Coef_PARASOL_DES_B3.dat;RS_LUT_168v2.txt;SG_LUT_168v2.txt;835;NIR;BAND_03;coef_VGT2_B3_DES.dat;none;none
4;1610;SWIR;BAND_04;coef_AATSR_1600_DES.dat;none;SG_LUT_073v2.txt;1610;SWIR;BAND_04;coef_ATSR2_1600_DES.dat;none;SG_LUT_073v2.txt;510;none;BAND_04;coef_MERIS4_DES.dat;none;none;530;none;BAND_11;none;none;none;670;VISR;BAND_04;Coef_PARASOL_DES_B4.dat;RS_LUT_169v2.txt;SG_LUT_169v2.txt;1665;SWIR;BAND_04;coef_VGT2_MIR_DES.dat;none;none
5;-2;none;none;none;none;none;-2;none;none;none;none;none;560;GREEN;BAND_05;coef_MERIS5_DES.dat;RS_LUT_078v2.txt;SG_LUT_078v2.txt;547;none;BAND_12;none;none;none;763;none;BAND_05;Coef_PARASOL_DES_B5.dat;none;none;-2;none;none;none;none;none
6;-2;none;none;none;none;none;-2;none;none;none;none;none;620;VISR;BAND_06;coef_MERIS6_DES.dat;RS_LUT_079v2.txt;SG_LUT_079v2.txt;666;none;BAND_13_LO;none;none;none;765;none;BAND_06;Coef_PARASOL_DES_B6.dat;none;SG_LUT_171v2.txt;-2;none;none;none;none;none
7;-2;none;none;none;none;none;-2;none;none;none;none;none;665;none;BAND_07;coef_MERIS7_DES.dat;RS_LUT_080v2.txt;SG_LUT_080v2.txt;666;none;BAND_13_HI;none;none;none;865;NIR;BAND_07;Coef_PARASOL_DES_B7.dat;RN_LUT_172v2.txt;SG_LUT_172v2.txt;-2;none;none;none;none;none
8;-2;none;none;none;none;none;-2;none;none;none;none;none;681;none;BAND_08;coef_MERIS8_DES.dat;none;none;677;none;BAND_14_LO;none;none;none;910;none;BAND_08;Coef_PARASOL_DES_B8.dat;none;none;-2;none;none;none;none;none
9;-2;none;none;none;none;none;-2;none;none;none;none;none;708;none;BAND_09;coef_MERIS9_DES.dat;none;none;677;none;BAND_14_HI;none;none;none;1020;none;BAND_09;Coef_PARASOL_DES_B9.dat;none;SG_LUT_174v2.txt;-2;none;none;none;none;none
10;-2;none;none;none;none;none;-2;none;none;none;none;none;754;none;BAND_10;coef_MERIS10_DES.dat;none;SG_LUT_083v2.txt;746;none;BAND_15;none;none;none;-2;none;none;none;none;none;-2;none;none;none;none;none
11;-2;none;none;none;none;none;-2;none;none;none;none;none;761;none;BAND_11;coef_MERIS11_DES.dat;none;none;866;none;BAND_16;none;none;none;-2;none;none;none;none;none;-2;none;none;none;none;none
12;-2;none;none;none;none;none;-2;none;none;none;none;none;779;none;BAND_12;coef_MERIS12_DES.dat;none;none;904;none;BAND_17;none;none;none;-2;none;none;none;none;none;-2;none;none;none;none;none
13;-2;none;none;none;none;none;-2;none;none;none;none;none;865;NIR;BAND_13;coef_MERIS13_DES.dat;RN_LUT_086v2.txt;SG_LUT_086v2.txt;936;none;BAND_18;none;none;none;-2;none;none;none;none;none;-2;none;none;none;none;none
14;-2;none;none;none;none;none;-2;none;none;none;none;none;885;none;BAND_14;coef_MERIS14_DES.dat;none;none;935;none;BAND_19;none;none;none;-2;none;none;none;none;none;-2;none;none;none;none;none
15;-2;none;none;none;none;none;-2;none;none;none;none;none;900;none;BAND_15;coef_MERIS15_DES.dat;none;none;1383;none;BAND_26;none;none;none;-2;none;none;none;none;none;-2;none;none;none;none;none
16;-2;none;none;none;none;none;-2;none;none;none;none;none;-2;none;none;none;none;none;466;BLUE;BAND_03;coef_MODIS3_DES.dat;RS_LUT_044v2.txt;SG_LUT_044v2.txt;-2;none;none;none;none;none;-2;none;none;none;none;none
17;-2;none;none;none;none;none;-2;none;none;none;none;none;-2;none;none;none;none;none;554;GREEN;BAND_04;coef_MODIS4_DES.dat;RS_LUT_045v2.txt;none;-2;none;none;none;none;none;-2;none;none;none;none;none
18;-2;none;none;none;none;none;-2;none;none;none;none;none;-2;none;none;none;none;none;1242;none;BAND_05;none;none;none;-2;none;none;none;none;none;-2;none;none;none;none;none
19;-2;none;none;none;none;none;-2;none;none;none;none;none;-2;none;none;none;none;none;1629;SWIR;BAND_06;coef_MODIS6_DES.dat;none;SG_LUT_047v2.txt;-2;none;none;none;none;none;-2;none;none;none;none;none
20;-2;none;none;none;none;none;-2;none;none;none;none;none;-2;none;none;none;none;none;2114;none;BAND_07;none;none;none;-2;none;none;none;none;none;-2;none;none;none;none;none
21;-2;none;none;none;none;none;-2;none;none;none;none;none;-2;none;none;none;none;none;646;VISR;BAND_01;coef_MODIS1_DES.dat;RS_LUT_042v2.txt;SG_LUT_042v2.txt;-2;none;none;none;none;none;-2;none;none;none;none;none
22;-2;none;none;none;none;none;-2;none;none;none;none;none;-2;none;none;none;none;none;857;NIR;BAND_02;coef_MODIS2_DES.dat;RN_LUT_043v2.txt;SG_LUT_043v2.txt;-2;none;none;none;none;none;-2;none;none;none;none;none
